[2023-10-28 17:08:11,286] Sampling PDBs with Antifold ...
[2023-10-28 17:08:11,287] Will sample 20 sequences from 1 PDBs at temperature(s) [0.2] and regions: ['CDRH3']
[2023-10-28 17:08:12,222] Loading checkpoint from models/model.pt...
[2023-10-28 17:08:12,510] Loaded model to cpu.
[2023-10-28 17:08:12,510] Saving prediction CSVs to output/single_pdb
[2023-10-28 17:08:12,511] Reading in (1) PDBs from DataFrame
[2023-10-28 17:08:12,562] Predicting batch 1/1: PDBs 1-1 out of 1 total
[2023-10-28 17:08:13,868] Saving 1 log-prob CSVs to output/single_pdb
[2023-10-28 17:08:13,870] Writing 6y1l_imgt log_probs CSV to output/single_pdb/6y1l_imgt.csv
[2023-10-28 17:08:13,883] 6y1l_imgt: , score=0.2934, global_score=0.2934, regions=['CDRH3'], model_name=AntiFold, seed=42
[2023-10-28 17:08:13,888] 6y1l_imgt__1: T=0.20, sample=1, score=0.6989, global_score=0.2144, seq_recovery=0.9231, mutations=9
[2023-10-28 17:08:13,893] 6y1l_imgt__2: T=0.20, sample=2, score=0.7250, global_score=0.2169, seq_recovery=0.9231, mutations=9
[2023-10-28 17:08:13,897] 6y1l_imgt__3: T=0.20, sample=3, score=0.6755, global_score=0.2121, seq_recovery=0.9231, mutations=9
[2023-10-28 17:08:13,902] 6y1l_imgt__4: T=0.20, sample=4, score=0.7096, global_score=0.2154, seq_recovery=0.9231, mutations=9
[2023-10-28 17:08:13,906] 6y1l_imgt__5: T=0.20, sample=5, score=0.6879, global_score=0.2133, seq_recovery=0.9231, mutations=9
[2023-10-28 17:08:13,911] 6y1l_imgt__6: T=0.20, sample=6, score=0.7446, global_score=0.2188, seq_recovery=0.9231, mutations=9
[2023-10-28 17:08:13,916] 6y1l_imgt__7: T=0.20, sample=7, score=0.6861, global_score=0.2131, seq_recovery=0.9231, mutations=9
[2023-10-28 17:08:13,920] 6y1l_imgt__8: T=0.20, sample=8, score=0.7057, global_score=0.2151, seq_recovery=0.9316, mutations=8
[2023-10-28 17:08:13,925] 6y1l_imgt__9: T=0.20, sample=9, score=0.6908, global_score=0.2136, seq_recovery=0.9231, mutations=9
[2023-10-28 17:08:13,929] 6y1l_imgt__10: T=0.20, sample=10, score=0.6987, global_score=0.2144, seq_recovery=0.9231, mutations=9
[2023-10-28 17:08:13,934] 6y1l_imgt__11: T=0.20, sample=11, score=0.6933, global_score=0.2138, seq_recovery=0.9231, mutations=9
[2023-10-28 17:08:13,939] 6y1l_imgt__12: T=0.20, sample=12, score=0.6989, global_score=0.2144, seq_recovery=0.9231, mutations=9
[2023-10-28 17:08:13,943] 6y1l_imgt__13: T=0.20, sample=13, score=0.6955, global_score=0.2141, seq_recovery=0.9231, mutations=9
[2023-10-28 17:08:13,948] 6y1l_imgt__14: T=0.20, sample=14, score=0.6940, global_score=0.2139, seq_recovery=0.9231, mutations=9
[2023-10-28 17:08:13,952] 6y1l_imgt__15: T=0.20, sample=15, score=0.6917, global_score=0.2137, seq_recovery=0.9231, mutations=9
[2023-10-28 17:08:13,957] 6y1l_imgt__16: T=0.20, sample=16, score=0.6785, global_score=0.2124, seq_recovery=0.9231, mutations=9
[2023-10-28 17:08:13,961] 6y1l_imgt__17: T=0.20, sample=17, score=0.6755, global_score=0.2121, seq_recovery=0.9231, mutations=9
[2023-10-28 17:08:13,966] 6y1l_imgt__18: T=0.20, sample=18, score=0.6755, global_score=0.2121, seq_recovery=0.9231, mutations=9
[2023-10-28 17:08:13,970] 6y1l_imgt__19: T=0.20, sample=19, score=0.6987, global_score=0.2144, seq_recovery=0.9231, mutations=9
[2023-10-28 17:08:13,975] 6y1l_imgt__20: T=0.20, sample=20, score=0.6940, global_score=0.2139, seq_recovery=0.9231, mutations=9
[2023-10-28 17:08:13,977] Saving to output/single_pdb/6y1l_imgt.fasta
